Name,Periastron,Semimajor Axis,Apastron,Eccentricity,Period,Diameter
Eukrate,2.0650,2.7390,3.4100,0.24630,4.5300 years,130.935 km
Bettina,2.7110,3.1410,3.5700,0.13710,5.5700 years,120.995 km
Aletheia,2.7260,3.1330,3.5400,0.13000,5.5500 years,174.318 km
Huberta,3.0850,3.4540,3.8200,0.10670,6.4200 years,101.539 km
Aline,2.3710,2.8070,3.2400,0.15540,4.7000 years,109.494 km
Adorea,2.6660,3.0910,3.5200,0.13730,5.4300 years,144.585 km
Sapientia,2.3240,2.7720,3.2200,0.16160,4.6200 years,103 km
Adelheid,2.9270,3.1180,3.3100,0.06120,5.5100 years,114.723 km
Thule,4.0820,4.2700,4.4600,0.04390,8.8200 years,126.59 km
Emma,2.6100,3.0490,3.4900,0.14400,5.3300 years,132.385 km
Josephina,2.9500,3.1250,3.3000,0.05600,5.5200 years,124.923 km
Polyxo,2.6440,2.7490,2.8500,0.03820,4.5600 years,128.578 km
Bamberga,1.7700,2.6830,3.6000,0.34040,4.3900 years,220.691 km
Gudrun,2.7740,3.1090,3.4400,0.10780,5.4800 years,145.68 km
Chicago,3.8280,3.9400,4.0500,0.02840,7.8200 years,198.77 km
Desiderata,1.7810,2.5960,3.4100,0.31380,4.1800 years,124.181 km
Dembowska,2.6670,2.9250,3.1800,0.08850,5.0000 years,139.77 km
Ornamenta,2.6080,3.1070,3.6100,0.16060,5.4800 years,128.729 km
Eleonora,2.4870,2.8010,3.1100,0.11190,4.6900 years,148.97 km
Liguria,2.0870,2.7540,3.4200,0.24200,4.5700 years,145.503 km
Ninina,2.9040,3.1510,3.4000,0.07840,5.5900 years,124.107 km
Carlova,2.4830,3.0040,3.5300,0.17360,5.2100 years,129.125 km
Bononia,3.1390,3.9750,4.8100,0.21030,7.9300 years,154.334 km
Palma,2.3650,3.1630,3.9600,0.25230,5.6300 years,173.642 km
Ursula,2.8070,3.1270,3.4500,0.10220,5.5300 years,216 km
Myrrha,2.9430,3.2290,3.5200,0.08860,5.8000 years,127.639 km
Siegena,2.4070,2.8990,3.3900,0.16960,4.9400 years,165.01 km
Aquitania,2.0840,2.7370,3.3900,0.23850,4.5300 years,100.51 km
Charybdis,2.8100,3.0050,3.2000,0.06500,5.2100 years,125.754 km
Lampetia,1.8510,2.7780,3.7100,0.33390,4.6300 years,116.191 km
Thia,1.9560,2.5850,3.2100,0.24330,4.1600 years,108.894 km
Aspasia,2.3860,2.5760,2.7600,0.07350,4.1300 years,171.012 km
Chloris,2.0760,2.7280,3.3800,0.23900,4.5100 years,118.929 km
Aurelia,1.9410,2.5950,3.2500,0.25230,4.1800 years,148.701 km
Bertholda,3.3470,3.4180,3.4900,0.02050,6.3200 years,138.699 km
Diotima,2.9660,3.0680,3.1700,0.03330,5.3700 years,175.859 km
Gratia,2.4680,2.7750,3.0800,0.11050,4.6200 years,102.565 km
Hippo,2.5790,2.8870,3.1900,0.10670,4.9000 years,137.562 km
Nephele,2.6000,3.1450,3.6900,0.17330,5.5800 years,101.9 km
Gyptis,2.2910,2.7710,3.2500,0.17330,4.6100 years,159.331 km
Patientia,2.8520,3.0650,3.2800,0.06950,5.3600 years,253.9 km
Argentina,2.6650,3.1790,3.6900,0.16170,5.6700 years,133.718 km
Papagena,2.2270,2.8900,3.5500,0.22950,4.9100 years,148.128 km
Hedwig,2.4510,2.6500,2.8500,0.07500,4.3100 years,138.493 km
Emita,2.3100,2.7410,3.1700,0.15700,4.5400 years,101.829 km
Kreusa,2.6660,3.1680,3.6700,0.15850,5.6400 years,168.117 km
Comacina,2.9960,3.1510,3.3100,0.04910,5.5900 years,139.39 km
Veritas,2.8950,3.1750,3.4600,0.08840,5.6600 years,118.803 km
Virtus,2.7930,2.9850,3.1800,0.06430,5.1600 years,100.786 km
Cava,2.0350,2.6870,3.3400,0.24250,4.4000 years,115 km
Marion,2.6030,3.0430,3.4800,0.14460,5.3100 years,105.94 km
Princetonia,3.1320,3.1630,3.1900,0.00960,5.6300 years,117.241 km
Davida,2.5630,3.1620,3.7600,0.18940,5.6200 years,270.327 km
Armida,2.9350,3.0470,3.1600,0.03660,5.3200 years,120.093 km
Edith,2.5880,3.1550,3.7200,0.17960,5.6000 years,111.89 km
Brixia,1.9800,2.7430,3.5100,0.27840,4.5400 years,107.227 km
Helga,3.3150,3.6260,3.9400,0.08580,6.9100 years,101.22 km
Herculina,2.2700,2.7700,3.2700,0.18040,4.6100 years,167.791 km
Merapi,3.1880,3.5070,3.8300,0.09100,6.5700 years,147.066 km
Messalina,2.6400,3.2010,3.7600,0.17520,5.7300 years,112.631 km
Stereoskopia,2.9700,3.3750,3.7800,0.12000,6.2000 years,167.381 km
